retweet_count,user_screen_name,user_followers_count,user_location,hashtags,text
653,JenaSeetal,256,,"{'NewOdisha', 'BJP'}","Inducted Shri. Prakash Chandra Behera, Sitting MLA from Salepur constituency, Cuttack into @BJP4India in the presence of senior leaders of @BJP4Odisha . Welcome his decision of joining #BJP to fulfill the vision of a #NewOdisha under the leadership of Hon. PM Sh. @narendramodi. https://t.co/fZpMrPRaUs"
287,ptdeeppandya,493,Karnavati,"{'RakshaMantri', 'Karyakarta', 'ManoharParrikar', 'BJP'}","Deeply saddened by the passing away of #ManoharParrikar ji,Chief Minister of Goa. I salute the services of our former #RakshaMantri to the country in many capacities; along with his endeavours as a #Karyakarta to make #BJP achieve unprecedented heights. My heartfelt condolences ! https://t.co/e1hkvaBV28"
54,3rd_Handle,402,India,"{'election', 'NarendraModi'}","“The appointment of Lokpal ahead of the #election is an attempt to mislead people by claiming that they [#BJP] had done all they had promised. Prime Minister #NarendraModi should answer why he had not done it in the last four years."" https://t.co/yBPlSwKoPV"
0,sangeeta_kalyan,2966,India,"{'Goa', 'ManoharParrikar', 'BJP', 'PriyankaGandhi'}","#Goa
#BJP
#ManoharParrikar
#PriyankaGandhi
Collect Holi cards in Vigo, share 10 Lakhs prize! https://t.co/Etlo4ogM3d"
25,donotreply2384,119,Somewhere On Earth,"{'VampireCongress', 'Nitingadkari', 'GOA', 'WeMissManoharParrikar', 'ManoharParikkar', 'GOA🤣🤣'}","#Nitingadkari had talks with BJP &amp; MGP party leaders in GOA for next CM in Mrng

next COM of #GOA
👉#BJP  Vishwajit Rane

👉#BJP Pramod Sawant

👉#MGP  Sudin Dhavalikar

but congress trying to stake claim for #GOA🤣🤣

#WeMissManoharParrikar

#ManoharParikkar

#VampireCongress https://t.co/YlvI4k4USo"
25,mukki008,389,India,"{'VampireCongress', 'Nitingadkari', 'GOA', 'WeMissManoharParrikar', 'ManoharParikkar', 'GOA🤣🤣'}","#Nitingadkari had talks with BJP &amp; MGP party leaders in GOA for next CM in Mrng

next COM of #GOA
👉#BJP  Vishwajit Rane

👉#BJP Pramod Sawant

👉#MGP  Sudin Dhavalikar

but congress trying to stake claim for #GOA🤣🤣

#WeMissManoharParrikar

#ManoharParikkar

#VampireCongress https://t.co/YlvI4k4USo"
163,alamdar1961,362,"Injambakkam, Sholinganallur","{'TimesNow', 'BJP', 'ChowkidarChorHai'}",It’s a juvenile campaign that has scored a self-goal. Chowkidar is to #ChowkidarChorHai as Bisleri is to mineral water. It’s generic. #BJP is divorced from ground realities. I guess too busy watching #TimesNow and that other pathetic caricature. https://t.co/FeX98qEmLE
7,S_k_chaudhary,190,"Jalpaiguri, India","{'CheatIndia', 'Jumla', 'ElectionCommission', 'Chowkidar', 'petrol', 'BJP'}","@derekobrienmp #ElectionCommission is silent about #Chowkidar &amp; his party's #Jumla 
#CheatIndia by #BJP 
EC can u answer why still this hoarding are there in all #petrol pump https://t.co/LjXBondSBc"
19,DN_Chary,392,"Bhongir, India",{'BJp'},@DickDarryl @DhaseDr @RajatSharmaLive @INCIndia @Pawankhera @sambitswaraj @indiatvnews @AnthonySald @KPadmaRani1 @priyankac19 @aayeff1 @priyapyadav18 @b_k70 @narendramodi @ShashiTharoor @renukacongress @sushmitadevmp @geetv79 @Nattashasharrma @SimmiAhuja_
287,iJaydipRathod,2695,"Dohod,Gujarat, India","{'RakshaMantri', 'Karyakarta', 'ManoharParrikar', 'BJP'}","Deeply saddened by the passing away of #ManoharParrikar ji,Chief Minister of Goa. I salute the services of our former #RakshaMantri to the country in many capacities; along with his endeavours as a #Karyakarta to make #BJP achieve unprecedented heights. My heartfelt condolences ! https://t.co/e1hkvaBV28"
25,ranganaathan,37157,Bharat,"{'VampireCongress', 'Nitingadkari', 'GOA', 'WeMissManoharParrikar', 'ManoharParikkar', 'GOA🤣🤣'}","#Nitingadkari had talks with BJP &amp; MGP party leaders in GOA for next CM in Mrng

next COM of #GOA
👉#BJP  Vishwajit Rane

👉#BJP Pramod Sawant

👉#MGP  Sudin Dhavalikar

but congress trying to stake claim for #GOA🤣🤣

#WeMissManoharParrikar

#ManoharParikkar

#VampireCongress https://t.co/YlvI4k4USo"
0,kalyugyaar,49,,"{'BJP', 'LokSabhaElections2019'}","Save my tweet friends! 
#BJP may make some inroads down south &amp; also in UP, but they will not be ruling d states in future! Majority of d states will have opposition party ruling in centre! 
Looks like Centre for BJP, States 4 others! Complicated equation! #LokSabhaElections2019"
23,GirjeshJadoun1,2,,"{'शिक्षामित्रों', 'CourtCase', 'युवाओं', 'BattleOf2019', '69000_शिक्षक_भर्ती', '68500_शिक्षक_भर्ती', '12460_शून्य_जनपद', 'ये_पब्लिक_है_ये_सब_जानती_है', 'ये_ज्ञान_अनमोल_है', 'ये_कैसा_रोजगार', 'BJP', 'secret'}","#BJP #secret to winning the  #BattleOf2019  is -- if u can't convince them , confused them. But my dear.... #ये_पब्लिक_है_ये_सब_जानती_है #ये_ज्ञान_अनमोल_है 
#ये_कैसा_रोजगार #12460_शून्य_जनपद #69000_शिक्षक_भर्ती  #शिक्षामित्रों #68500_शिक्षक_भर्ती #CourtCase #युवाओं"
0,TOICitiesNews,14608,,"{'ArunachalPradesh', 'BJP', 'JarpumGamlin'}",#ArunachalPradesh #BJP general secretary #JarpumGamlin quits party after being denied ticket to contest assembly elections
15,nancy_viji,242,pondicherry,"{'AIADMKAlliance', 'MakkalNeedhiMaiam', 'DMDK', 'AAP', 'ELECTIONBREAKING', 'INC', 'TNelections2019', 'DMKAlliance', 'AMMK', 'BJP', 'TamilNadu', 'Elections2019'}",WHO WILL WIN IN TAMILNADU  #TamilNadu #TNelections2019 #Elections2019 #ELECTIONBREAKING #MakkalNeedhiMaiam #DMKAlliance #AIADMKAlliance #AMMK #BJP #INC #AAP #DMDK
3,polticalquest,2773,United States,"{'RIP', 'IndiraGandhi', 'ManoharParrikar', 'RajivGandhi', 'RIPParrikar', 'BJP', 'ModiGovt'}","#RajivGandhi #IndiraGandhi &amp; thousands of Congressee during independence fought &amp; died as a soldier dies for his country. Name a single #BJP man who martyred? #RIPParrikar #ManoharParrikar #RIP #ModiGovt @RahulGandhi fyi, @@milinddeora @ManishTewari @@ashokgehlot51 @AltNews Rtplz https://t.co/F7FDlQVxwp"
13,manojku08896988,0,,"{'MainBhiChowkidar', 'MainBhiBerozgar', 'dirtypolitics', 'jagoIndiajago', 'BJP', 'eletion'}","1) When the elections are near.
2) When the seat is won. 
#MainBhiChowkidar #MainBhiBerozgar #BJP #dirtypolitics #eletion #jagoIndiajago https://t.co/ZkvbX0RGh3"
0,vikavi_k,115,"Nagaland, India","{'ChowkidarChorHai', 'NarendraModi', 'KiaHuwaTeriWada', 'BJP'}",Chawkidar Wave to divert Corruption and False Promises. #BJP #ChowkidarChorHai #NarendraModi #KiaHuwaTeriWada
5,Dheerendra4Raj,98,,"{'Congress', 'ChowkidarPhirSe', 'bjp'}","Who is more deserving??
#ChowkidarPhirSe #bjp #Congress https://t.co/zEpth8SSsJ"
